 Time; ECG; ECG_filtered; ...
 19:27:00 ;2,31;2,46;
 19:27:00 ;2,35;2,38;
 19:27:00 ;1,19;1,54;
 19:27:00 ;1,24;1,33;
 19:27:00 ;1,2;1,24;
 19:27:00 ;1,21;1,22;
 19:27:00 ;1,42;1,36;
 19:27:00 ;1,88;1,73;
 19:27:00 ;2,21;2,07;
 19:27:00 ;2,22;2,17;
 19:27:00 ;2,58;2,46;
 19:27:00 ;2,86;2,74;
 19:27:00 ;3,15;3,03;
 19:27:00 ;2,97;2,99;
 19:27:00 ;2,47;2,63;
 19:27:00 ;1,91;2,12;
 19:27:00 ;1,49;1,68;
 19:27:00 ;1,29;1,41;
 19:27:00 ;1,33;1,35;
 19:27:00 ;1,61;1,53;
 19:27:00 ;1,87;1,77;
 19:27:00 ;2,2;2,07;
 19:27:01 ;2,63;2,47;
 19:27:01 ;3,68;3,31;
 19:27:01 ;2,77;2,93;
 19:27:01 ;2,92;2,92;
 19:27:01 ;2,58;2,68;
 19:27:01 ;2,12;2,29;
 19:27:01 ;1,77;1,93;
 19:27:01 ;1,55;1,67;
 19:27:01 ;1,3;1,41;
 19:27:01 ;1,22;1,28;
 19:27:01 ;1,45;1,4;
 19:27:01 ;1,86;1,72;
 19:27:01 ;2,34;2,15;
 19:27:01 ;2,76;2,58;
 19:27:01 ;2,98;2,86;
 19:27:01 ;2,94;2,91;
 19:27:01 ;2,61;2,7;
 19:27:01 ;2,15;2,32;
 19:27:01 ;1,7;1,88;
 19:27:01 ;1,36;1,52;
 19:27:01 ;1,25;1,33;
 19:27:01 ;1,24;1,27;
 19:27:01 ;1,4;1,36;
 19:27:01 ;1,74;1,62;
 19:27:01 ;2,81;2,46;
 19:27:01 ;2,23;2,3;
 19:27:01 ;2,99;2,78;
 19:27:02 ;3,12;3,02;
 19:27:02 ;2,96;2,98;
 19:27:02 ;2,65;2,75;
 19:27:02 ;2,17;2,34;
 19:27:02 ;1,51;1,76;
 19:27:02 ;1,04;1,25;
 19:27:02 ;0,98;1,06;
 19:27:02 ;1,18;1,14;
 19:27:02 ;1,51;1,4;
 19:27:02 ;1,89;1,74;
 19:27:02 ;2,33;2,16;
 19:27:02 ;2,78;2,59;
 19:27:02 ;3,04;2,91;
 19:27:02 ;2,99;2,96;
 19:27:02 ;2,69;2,77;
 19:27:02 ;2,23;2,39;
 19:27:02 ;3,09;2,92;
 19:27:02 ;2,87;2,88;
 19:27:02 ;2,55;2,65;
 19:27:02 ;2,84;2,79;
 19:27:02 ;1,36;1,78;
 19:27:02 ;1,29;1,44;
 19:27:03 ;1,18;1,26;
 19:27:03 ;1,29;1,28;
 19:27:03 ;1,61;1,51;
 19:27:03 ;2,1;1,93;
 19:27:03 ;2,4;2,26;
 19:27:03 ;2,42;2,37;
